job_title,level_job,job_type,annual_salary_usd,benefits,onsite_remote,category_job,company,location,skills,country,region
Lead Data Scientist,N/A,Full Time,122500.0,"Career development,Competitive pay,Health care,Insurance",onsite,,, United States,"AWS, Azure, Consulting, Data analysis, Data Mining, Economics, EDA",United States,World
STAGE 6 mois - Data Scientist Junior H/F,Entry,Full Time,,,onsite,,, France,"Big Data, Power BI, Python, R, SQL",France,World
Business Intelligence Developer,Senior,Full Time,88500.0,Career development,onsite,,, United Kingdom,"APIs, Business Intelligence, Data analysis, Data strategy, Finance, Power BI, SQL",United Kingdom,World
Senior Data Engineer - Data Platform / AWS / Archi DistribuÃ©e (F/H),Senior,Full Time,147500.0,"Flex hours,Team events",onsite,,, France,"Airflow, Ansible, APIs, Architecture, Athena, AWS, Docker",France,World
Behavioral Data Scientist I,Senior,Full Time,157000.0,"Fitness / gym,Flex vacation,Health care,Home office stipend,Unlimited paid time off",onsite,,,Latin America,"Causal inference, Crypto, Data Analytics, Economics, Finance, Privacy, Python",,
Data Engineer - Intern (Summer 2023),Entry,Internship,,,onsite,,,San Francisco or Austin,"Angular, APIs, Architecture, Computer Science, Data Analytics, Engineering, ETL",,
"Sr Staff Software Engineer - Java, Kafka/Spark, Springboot",Senior,Full Time,78500.0,,onsite,,, India,"APIs, Architecture, AWS, Big Data, Computer Science, Engineering, Excel",India,World
Data Engineer Consultant,Entry,Full Time,98000.0,Startup environment,onsite,,, Netherlands,"APIs, Architecture, AWS, Azure, Big Data, CI/CD, Consulting",Netherlands,World
DDO Â Data Management - Senior Financial Data Quality Analyst,Senior,Full Time,88500.0,"Gear,Home office stipend",onsite,,, Portugal,"Architecture, Banking, Data management, Data quality, Data visualization, Engineering, Excel",Portugal,World
Data Engineering Manager,N/A,Full Time,116000.0,Team events,onsite,,, Portugal,"Airflow, APIs, Architecture, Azure, Big Data, CI/CD, Computer Science",Portugal,World
Business Data Scientist - Remote,N/A,Full Time,131500.0,,onsite,,,Mexico,"Data analysis, Industrial, Jupyter, Kafka, KPIs, Kubernetes, Machine Learning",Mexico,Latin America
VIE - Marketing Data Analyst - London,Entry,Full Time,53000.0,"Career development,Conferences,Lunch / meals,Yoga",onsite,,, United Kingdom,"Banking, Data analysis, Engineering, Open Source, Privacy, Python, R",United Kingdom,World
"Data Scientist, Sales & Success",Senior,Full Time,185000.0,"Competitive pay,Equity,Flex vacation,Startup environment",onsite,,, California,"Data analysis, Data pipelines, Data strategy, Engineering, Finance, Pipelines, Python",,
Cloud Data Engineer,Senior,Full Time,78500.0,,onsite,,,Bengaluru,"AWS, Data pipelines, EC2, ELT, Engineering, ETL, Lambda",,
Data Scientist I,Senior,Full Time,157000.0,"Career development,Fitness / gym,Flex vacation,Health care,Home office stipend",onsite,,,Latin America,"Causal inference, Crypto, Data analysis, Economics, EDA, Finance, Machine Learning",,
Data Engineer,Senior,Full Time,147500.0,Career development,remote,,, and Canada,"Airflow, Data governance, Data pipelines, Engineering, ETL, Hadoop, Machine Learning",Canada,World
Senior ML Engineer,Senior,Full Time,185500.0,"Career development,Competitive pay,Equity,Flex hours,Flex vacation",onsite,,, Armenia,"APIs, ASR, AWS, Big Data, Caffe, Cassandra, Classification",Armenia,World
"Senior Data Analyst, Partner Development - (Statistics/ML/BI) (Bangkok-based, relocation provided)",Senior,Full Time,111000.0,"Career development,Team events",onsite,,,Bangkok,"Business Intelligence, Computer Science, Data analysis, Data Analytics, Data Mining, Data visualization, Economics",,
"[Job-9792] Senior Data Ops Engineer, United States",Senior,Full Time,98500.0,"Career development,Fitness / gym,Health care,Parental leave",onsite,,,United States,"AWS, Azure, CI/CD, CX, DataOps, Dataproc, Engineering",United States,World
"[Job-9791] Mid-Level Data/ETL Engineer, Colombia",Mid,Full Time,64500.0,"Parental leave,Startup environment",onsite,,,Colombia,"CX, Dataproc, Engineering, ETL, GCP, PostgreSQL, Research",Colombia,Latin America
"[Job-9791] Mid-Level Data/ETL Engineer, United States",Mid,Full Time,80500.0,"Career development,Fitness / gym,Health care,Parental leave,Startup environment",onsite,,,United States,"CX, Dataproc, Engineering, ETL, GCP, PostgreSQL, Research",United States,World
Binance Accelerator Programme- Research Data Analyst,Entry,Full Time,53000.0,,onsite,,,Hong Kong,"APIs, Blockchain, Computer Science, Crypto, Engineering, ETL, GraphQL",,
Data Analyst (Remote),Executive,Full Time,102500.0,"Medical leave,Startup environment",onsite,,,,"Business Analytics, Consulting, Data Analytics, Data visualization, Economics, Engineering, Finance",,
Analytics Engineer V (Remote),Senior,Full Time,147000.0,"Career development,Health care,Medical leave",onsite,,,,"Architecture, BigQuery, Computer Science, Data Analytics, Data Warehousing, Engineering, GCP",,
Big Data Solution Architect,Mid,Full Time,72500.0,"Career development,Startup environment",onsite,,, Greece,"Big Data, Computer Science, Data Analytics, Data pipelines, Data visualization, Data Warehousing, DevOps",Greece,World
Consultant(e) Data Analytics - H/F,Entry,Full Time,56000.0,,onsite,,, France,"AWS, Azure, Big Data, Data Analytics, ETL, GCP, Hadoop",France,World
Junior Big Data Developer with Java,Entry,Full Time,56000.0,,onsite,,, Spain,"Agile, Angular, Big Data, Blockchain, Flink, GitHub, JavaScript",Spain,World
Senior AI/ML Engineer (On-Site),Mid,Full Time,153500.0,"401(k) matching,Career development,Flex hours,Flex vacation,Health care",onsite,,, United States,"Architecture, Arrow, AWS, Big Data, Computer Science, Computer Vision, Engineering",United States,World
Data Scientist (w/m/div.) fÃ¼r den Bereich GebÃ¤udetechnologien,Senior,Full Time,157000.0,,onsite,,, Germany,"Data Analytics, Data Mining, Machine Learning, NLP, Python, R, SQL",Germany,World
Working student Integration of an industrial Data Analysis Demonstrator (f/m/div.),Entry,Full Time,56000.0,,onsite,,, Germany,"Computer Science, Data analysis, Engineering, Industrial, Linux, Machine Learning, Python",Germany,World
Business Data Analyst Intern (APAC),Entry,Internship,,"Flex hours,Health care,Insurance,Team events",onsite,,,Paris,"Consulting, CX, Data visualization, KPIs, Python, SQL, Tableau",,
ETL & DB Engineer,Mid,Full Time,64500.0,,onsite,,,Hyderabad,"Agile, Airflow, Architecture, AWS, Data management, EC2, Engineering",,
"Staff Software Engineer, AI/NLP",Senior,Full Time,98500.0,,onsite,,, CA,"ChatGPT, Computer Science, Deep Learning, Engineering, GPT, Machine Learning, NLP",,
"Software Engineer - Data Science Engineering, Core Data",Senior,Full Time,88500.0,Career development,remote,,, or United States,"Airflow, Data governance, Data quality, Data warehouse, Engineering, ETL, Hadoop",United States,World
Data Analyst (Contract/Remote),Senior,Full Time,111000.0,,remote,,, Remote,Engineering,,
Staff Data Engineer (Actimize AIS),Senior,Full Time,147500.0,Startup environment,onsite,,, India,"Architecture, Data visualization, PhD, Python, Scala, Testing",India,World
Data engineer,Entry,Full Time,98000.0,,onsite,,, Belgium,"APIs, Azure, DevOps, Neo4j, NoSQL, Python",Belgium,World
"Senior Systems Engineer II, Autonomy",Senior,Full Time,,"401(k) matching,Career development,Equity,Fertility benefits,Flex hours",remote,,,US Remote,"Computer Science, Engineering, Physics, Python, Robotics, SQL, Testing",,
